iter	Passed	Remaining
0	124	123919
1	126	62898
2	128	42629
3	130	32478
4	132	26402
5	134	22322
6	137	19468
7	139	17281
8	141	15607
9	143	14245
10	146	13135
11	148	12203
12	150	11415
13	152	10729
14	154	10126
15	156	9629
16	158	9184
17	160	8779
18	163	8423
19	165	8098
20	167	7805
21	170	7567
22	172	7321
23	174	7103
24	177	6906
25	179	6717
26	181	6540
27	184	6390
28	186	6239
29	188	6093
30	190	5951
31	192	5816
32	194	5691
33	196	5569
34	198	5464
35	200	5360
36	202	5268
37	204	5180
38	206	5092
39	208	5015
40	211	4940
41	213	4880
42	216	4821
43	219	4766
44	221	4704
45	224	4650
46	226	4595
47	228	4540
48	231	4492
49	233	4439
50	235	4382
51	237	4333
52	239	4280
53	242	4240
54	244	4202
55	246	4157
56	249	4131
57	251	4088
58	253	4045
59	256	4012
60	259	3991
61	261	3957
62	263	3923
63	265	3888
64	267	3854
65	270	3823
66	272	3793
67	273	3750
68	275	3721
69	277	3689
70	279	3659
71	281	3630
72	283	3603
73	285	3578
74	288	3554
75	290	3529
76	292	3503
77	294	3480
78	296	3456
79	298	3432
80	300	3413
81	303	3392
82	305	3372
83	307	3355
84	309	3328
85	311	3311
86	313	3285
87	315	3268
88	317	3250
89	319	3231
90	321	3213
91	323	3194
92	325	3176
93	327	3157
94	329	3143
95	332	3127
96	334	3110
97	336	3093
98	338	3078
99	340	3063
100	342	3048
101	343	3025
102	345	3012
103	348	3000
104	350	2986
105	352	2974
106	354	2962
107	357	2952
108	359	2941
109	362	2929
110	365	2924
111	367	2915
112	370	2905
113	372	2891
114	374	2882
115	376	2866
116	378	2855
117	380	2843
118	382	2829
119	384	2816
120	385	2801
121	387	2789
122	388	2772
123	391	2762
124	393	2751
125	395	2742
126	397	2731
127	398	2715
128	400	2702
129	402	2695
130	404	2685
131	406	2674
132	408	2662
133	410	2652
134	412	2640
135	414	2630
136	415	2619
137	417	2609
138	419	2600
139	421	2590
140	423	2581
141	425	2570
142	426	2558
143	428	2548
144	430	2538
145	432	2530
146	434	2522
147	436	2512
148	438	2503
149	440	2493
150	441	2484
151	443	2474
152	445	2464
153	447	2456
154	449	2449
155	451	2440
156	452	2432
157	454	2424
158	456	2415
159	458	2406
160	460	2398
161	462	2391
162	464	2384
163	466	2379
164	468	2371
165	470	2363
166	472	2355
167	473	2346
168	475	2339
169	477	2332
170	479	2324
171	481	2316
172	483	2309
173	484	2301
174	486	2294
175	488	2286
176	490	2279
177	492	2273
178	494	2265
179	495	2259
180	496	2248
181	498	2240
182	500	2232
183	502	2226
184	504	2220
185	506	2214
186	507	2208
187	509	2201
188	511	2194
189	513	2187
190	514	2180
191	516	2174
192	518	2167
193	520	2161
194	522	2154
195	523	2148
196	525	2141
197	527	2135
198	528	2128
199	530	2122
200	532	2116
201	534	2109
202	535	2103
203	537	2097
